Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.05,0.1,0.35,0.15,0.35,0,1.0
0.05,0.15,0.3,0.15,0.35,0,1.0
0.05,0.15,0.35,0.1,0.35,0,1.0
0.05,0.15,0.35,0.15,0.3,0,1.0
0.05,0.2,0.3,0.1,0.35,0,1.0
0.05,0.2,0.3,0.15,0.3,0,1.0
0.05,0.2,0.35,0.05,0.35,0,1.0
0.05,0.2,0.35,0.1,0.3,0,1.0
0.05,0.2,0.35,0.15,0.25,0,1.0
0.05,0.25,0.25,0.1,0.35,0,1.0
0.05,0.25,0.3,0.05,0.35,0,1.0
0.05,0.25,0.3,0.1,0.3,0,1.0
0.05,0.25,0.3,0.15,0.25,0,1.0
0.05,0.25,0.35,0.05,0.3,0,1.0
0.05,0.25,0.35,0.1,0.25,0,1.0
0.05,0.25,0.35,0.15,0.2,0,1.0
0.05,0.3,0.2,0.1,0.35,0,1.0
0.05,0.3,0.25,0.05,0.35,0,1.0
0.05,0.3,0.25,0.1,0.3,0,1.0
0.05,0.3,0.3,0.05,0.3,0,1.0
0.05,0.3,0.3,0.1,0.25,0,1.0
0.05,0.3,0.35,0.05,0.25,0,1.0
0.05,0.3,0.35,0.1,0.2,0,1.0
0.05,0.3,0.35,0.15,0.15,0,1.0
0.05,0.35,0.15,0.1,0.35,0,1.0
0.05,0.35,0.2,0.05,0.35,0,1.0
0.05,0.35,0.2,0.1,0.3,0,1.0
0.05,0.35,0.25,0.05,0.3,0,1.0
0.05,0.35,0.25,0.1,0.25,0,1.0
0.05,0.35,0.3,0.05,0.25,0,1.0
0.05,0.35,0.3,0.1,0.2,0,1.0
0.05,0.35,0.35,0.05,0.2,0,1.0
0.05,0.35,0.35,0.1,0.15,0,1.0
0.1,0.15,0.35,0.05,0.35,0,1.0
0.1,0.2,0.3,0.05,0.35,0,1.0
0.1,0.2,0.35,0.05,0.3,0,1.0
0.1,0.25,0.25,0.05,0.35,0,1.0
0.1,0.25,0.3,0.05,0.3,0,1.0
0.1,0.25,0.35,0.05,0.25,0,1.0
0.1,0.3,0.2,0.05,0.35,0,1.0
0.1,0.3,0.25,0.05,0.3,0,1.0
0.1,0.3,0.3,0.05,0.25,0,1.0
0.1,0.3,0.35,0.05,0.2,0,1.0
0.1,0.35,0.15,0.05,0.35,0,1.0
0.1,0.35,0.2,0.05,0.3,0,1.0
0.1,0.35,0.25,0.05,0.25,0,1.0
0.1,0.35,0.3,0.05,0.2,0,1.0
0.1,0.35,0.35,0.05,0.15,0,1.0
0.15,0.1,0.35,0.05,0.35,0,1.0
0.15,0.15,0.35,0.05,0.3,0,1.0
0.15,0.2,0.35,0.05,0.25,0,1.0
0.15,0.25,0.35,0.05,0.2,0,1.0
0.15,0.3,0.35,0.05,0.15,0,1.0
0.15,0.35,0.35,0.05,0.1,0,1.0
0.05,0.35,0.2,0.15,0.25,0,0.92476504
0.05,0.3,0.2,0.15,0.3,0,0.91647895
0.1,0.25,0.25,0.1,0.3,0,0.90804884
0.1,0.35,0.2,0.1,0.25,0,0.90130398
