Cr,Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.05,0.2,0.05,0.1,0.35,0.25,0,1.0
0.05,0.2,0.1,0.05,0.35,0.25,0,1.0
0.05,0.25,0.05,0.05,0.35,0.25,0,1.0
0.05,0.25,0.05,0.1,0.35,0.2,0,1.0
0.05,0.25,0.1,0.05,0.35,0.2,0,1.0
0.05,0.3,0.05,0.05,0.3,0.25,0,1.0
0.05,0.3,0.05,0.05,0.35,0.2,0,1.0
0.05,0.3,0.05,0.1,0.3,0.2,0,1.0
0.05,0.3,0.05,0.1,0.35,0.15,0,1.0
0.05,0.3,0.1,0.05,0.3,0.2,0,1.0
0.05,0.3,0.1,0.05,0.35,0.15,0,1.0
0.05,0.35,0.05,0.05,0.3,0.2,0,1.0
0.05,0.35,0.05,0.05,0.35,0.15,0,1.0
0.05,0.35,0.1,0.05,0.3,0.15,0,1
0.05,0.35,0.1,0.05,0.35,0.1,0,1.0
0.05,0.35,0.1,0.05,0.25,0.2,0,0.99714457
0.05,0.2,0.05,0.05,0.35,0.3,0,0.99626284
0.05,0.25,0.1,0.05,0.3,0.25,0,0.99526089
0.05,0.15,0.1,0.05,0.35,0.3,0,0.99336742
0.05,0.35,0.05,0.1,0.25,0.2,0,0.98557072
0.05,0.25,0.05,0.1,0.3,0.25,0,0.98444714
0.05,0.1,0.1,0.1,0.35,0.3,0,0.98421177
0.05,0.15,0.05,0.1,0.35,0.3,0,0.98349918
0.05,0.35,0.05,0.05,0.25,0.25,0,0.9825222
0.05,0.25,0.05,0.05,0.3,0.3,0,0.97873687
0.05,0.1,0.05,0.15,0.35,0.3,0,0.97834482
0.05,0.2,0.05,0.15,0.3,0.25,0,0.97627602
0.05,0.3,0.1,0.05,0.25,0.25,0,0.97583458
0.05,0.15,0.05,0.05,0.35,0.35,0,0.97474831
0.05,0.2,0.1,0.05,0.3,0.3,0,0.97440389
0.05,0.05,0.15,0.05,0.35,0.35,0,0.97434618
0.05,0.15,0.15,0.05,0.3,0.3,0,0.97311892
0.05,0.1,0.1,0.05,0.35,0.35,0,0.97295237
0.05,0.25,0.15,0.05,0.25,0.25,0,0.97213782
0.05,0.3,0.05,0.1,0.25,0.25,0,0.96642703
0.05,0.1,0.15,0.1,0.3,0.3,0,0.96639213
0.05,0.05,0.1,0.1,0.35,0.35,0,0.96635045
0.05,0.2,0.05,0.1,0.3,0.3,0,0.96572375
0.05,0.1,0.05,0.1,0.35,0.35,0,0.96507206
0.05,0.15,0.1,0.1,0.3,0.3,0,0.96474533
0.05,0.3,0.05,0.05,0.25,0.3,0,0.96395664
0.05,0.25,0.1,0.1,0.25,0.25,0,0.96346093
0.05,0.35,0.1,0.1,0.2,0.2,0,0.96281727
0.05,0.05,0.05,0.15,0.35,0.35,0,0.96168427
0.05,0.1,0.1,0.15,0.3,0.3,0,0.96132966
0.05,0.2,0.05,0.05,0.3,0.35,0,0.96086494
0.05,0.35,0.1,0.05,0.2,0.25,0,0.95999453
0.05,0.15,0.05,0.15,0.3,0.3,0,0.9597149
0.05,0.05,0.2,0.05,0.3,0.35,0,0.95969315
0.05,0.25,0.1,0.05,0.25,0.3,0,0.95884101
